valley,delta_kx_inv_A,omega18_z_A2,E17_eV,E18_eV
K,0.05879999999999999,-5.746307664886585,-1.442772823956582,-1.298369728749793
K,0.05939999999999998,-5.736165836662861,-1.4430958060556844,-1.298734175869726
K,0.06,-5.726024008439138,-1.4434187881547866,-1.2990986229896593
K,0.06059999999999999,-5.711668082554956,-1.4439531055194694,-1.2996966936636687
K,0.06119999999999998,-5.697312156670774,-1.4444874228841527,-1.3002947643376783
K,0.061799999999999994,-5.6829562307865915,-1.4450217402488355,-1.3008928350116877
K,0.06239999999999998,-5.6686003049024105,-1.4455560576135185,-1.3014909056856971
K,0.063,-5.654244379018227,-1.4460903749782015,-1.3020889763597066
K,0.06359999999999999,-5.639888453134046,-1.4466246923428843,-1.3026870470337162
K,0.06419999999999998,-5.625532527249864,-1.4471590097075673,-1.3032851177077256
K,0.0648,-5.611176601365681,-1.4476933270722503,-1.3038831883817352
K,0.06539999999999999,-5.596820675481499,-1.448227644436933,-1.3044812590557444
K,0.06599999999999998,-5.582464749597317,-1.448761961801616,-1.3050793297297538
K,0.06659999999999999,-5.5681088237131355,-1.4492962791662989,-1.3056774004037637
K,0.06719999999999998,-5.553752897828954,-1.4498305965309821,-1.3062754710777729
K,0.0678,-5.539396971944771,-1.450364913895665,-1.3068735417517825
K,0.06839999999999999,-5.52504104606059,-1.450899231260348,-1.307471612425792
K,0.06899999999999998,-5.510685120176408,-1.451433548625031,-1.3080696830998013
K,0.0696,-5.496329194292224,-1.451967865989714,-1.3086677537738107
K,0.07019999999999998,-5.481973268408042,-1.4525021833543967,-1.3092658244478204
K,0.07079999999999997,-5.467617342523861,-1.4530365007190795,-1.3098638951218298
K,0.07139999999999999,-5.453261416639679,-1.4535708180837625,-1.3104619657958392
K,0.07199999999999998,-5.438905490755497,-1.4541051354484456,-1.3110600364698488
K,0.0726,-5.424549564871315,-1.4546394528131286,-1.3116581071438582
K,0.07319999999999999,-5.410193638987133,-1.4551737701778116,-1.3122561778178676
K,0.07379999999999998,-5.395837713102951,-1.4557080875424944,-1.312854248491877
K,0.0744,-5.381481787218768,-1.4562424049071774,-1.3134523191658867
K,0.07499999999999998,-5.3671258613345865,-1.4567767222718602,-1.3140503898398959
K,0.0756,-5.352769935450404,-1.4573110396365432,-1.3146484605139055
K,0.07619999999999999,-5.338414009566222,-1.4578453570012262,-1.3152465311879151
K,0.07679999999999998,-5.32405808368204,-1.4583796743659092,-1.3158446018619245
K,0.0774,-5.309702157797858,-1.4589139917305922,-1.316442672535934
K,0.07799999999999999,-5.295346231913676,-1.459448309095275,-1.3170407432099434
K,0.07859999999999998,-5.280990306029494,-1.4599826264599578,-1.3176388138839528
K,0.07919999999999999,-5.2666343801453115,-1.4605169438246408,-1.3182368845579624
K,0.07979999999999998,-5.25227845426113,-1.4610512611893238,-1.3188349552319718
K,0.0804,-5.237922528376947,-1.4615855785540068,-1.3194330259059814
K,0.08099999999999999,-5.223566602492766,-1.4621198959186898,-1.3200310965799908
K,0.08159999999999998,-5.209210676608583,-1.4626542132833726,-1.3206291672540003
K,0.0822,-5.194854750724401,-1.4631885306480557,-1.3212272379280097
K,0.08279999999999998,-5.180498824840219,-1.4637228480127384,-1.321825308602019
K,0.08339999999999997,-5.166142898956037,-1.4642571653774215,-1.3224233792760285
K,0.08399999999999999,-5.151786973071855,-1.4647914827421045,-1.3230214499500381
K,0.08459999999999998,-5.137431047187674,-1.4653258001067875,-1.3236195206240475
K,0.0852,-5.12307512130349,-1.4658601174714703,-1.3242175912980572
K,0.08579999999999999,-5.108719195419309,-1.4663944348361535,-1.3248156619720666
K,0.08639999999999998,-5.094363269535127,-1.4669287522008363,-1.325413732646076
K,0.087,-5.080007343650945,-1.467463069565519,-1.3260118033200854
K,0.08759999999999998,-5.065651417766762,-1.467997386930202,-1.326609873994095
K,0.08819999999999997,-5.0512954918825805,-1.4685317042948849,-1.3272079446681044
K,0.08879999999999999,-5.036939565998398,-1.4690660216595681,-1.3278060153421138
K,0.08939999999999998,-5.022583640114217,-1.469600339024251,-1.3284040860161235
K,0.09,-5.008227714230034,-1.470134656388934,-1.3290021566901329
K,0.09059999999999999,-4.992508152525663,-1.4708598276544644,-1.3298061843343922
K,0.09119999999999998,-4.976788590821291,-1.471584998919995,-1.3306102119786514
K,0.09179999999999999,-4.96106902911692,-1.4723101701855255,-1.331414239622911
K,0.09239999999999998,-4.945349467412548,-1.4730353414510562,-1.33221826726717
K,0.093,-4.929629905708175,-1.4737605127165867,-1.3330222949114297
K,0.09359999999999999,-4.913910344003804,-1.4744856839821172,-1.333826322555689
K,0.09419999999999998,-4.898190782299433,-1.4752108552476477,-1.3346303501999484
K,0.0948,-4.882471220595061,-1.4759360265131782,-1.3354343778442077
K,0.09539999999999998,-4.86675165889069,-1.476661197778709,-1.336238405488467
